key,zh-Hant,en,ja,ko,ru,vi,zh-Hans
新埔,新埔,Xinpu,,,,,
關西,關西,Guanxi,,,,,
湖口,湖口,Hukou,,,,,
芎林,芎林,Qionglin,,,,,
橫山,橫山,Hengshan,,,,,
北埔,北埔,Beipu,,,,,
五峰,五峰,Wufeng,,,,,
龍井,龍井,Longjing,,,,,
大雅,大雅,Daya,,,,,
沙鹿,沙鹿,Shalu,,,,,
梧棲,梧棲,Wuqi,,,,,
湖西,湖西,Huxi,,,,,
金峰,金峰,Jinfeng,,,,,
太麻里,太麻里,Taimali,,,,,
苗栗,苗栗,Miaoli,,,,,
卓蘭,卓蘭,Zhuolan,,,,,
大湖,大湖,Dahu,,,,,
公館,公館,Gongguan,,,,,
銅鑼,銅鑼,Tongluo,,,,,
頭屋,頭屋,Touwu,,,,,
三義,三義,Sanyi,,,,,
西湖,西湖,Xihu,,,,,
造橋,造橋,Zaoqiao,,,,,
獅潭,獅潭,Shitan,,,,,
彰化,彰化,Changhua,,,,,
和美,和美,Hemei,,,,,
線西,線西,Xianxi,,,,,
伸港,伸港,Shengang,,,,,
秀水,秀水,Xiushui,,,,,
花壇,花壇,Huatan,,,,,
芬園,芬園,Fenyuan,,,,,
溪湖,溪湖,Xihu,,,,,
東石,東石,Dongshi,,,,,
大村,大村,Dacun,,,,,
埔鹽,埔鹽,Puyan,,,,,
埔心,埔心,Puxin,,,,,
永靖,永靖,Yongjing,,,,,
二水,二水,Ershui,,,,,
二林,二林,Erlin,,,,,
埤頭,埤頭,Pitou,,,,,
芳苑,芳苑,Fangyuan,,,,,
大城,大城,Dacheng,,,,,
竹塘,竹塘,Zhutang,,,,,
溪州,溪州,Xizhou,,,,,
南投,南投,Nantou,,,,,
埔里,埔里,Puli,,,,,
草屯,草屯,Caotun,,,,,
竹山,竹山,Zhushan,,,,,
集集,集集,Jiji,,,,,
名間,名間,Mingjian,,,,,
鹿谷,鹿谷,Lugu,,,,,
中寮,中寮,Zhongliao,,,,,
魚池,魚池,Yuchi,,,,,
國姓,國姓,Guoxing,,,,,
水里,水里,Shuili,,,,,
信義,信義,Xinyi,,,,,
仁愛,仁愛,Ren'ai,,,,,
斗六,斗六,Douliu,,,,,
斗南,斗南,Dounan,,,,,
虎尾,虎尾,Huwei,,,,,
西螺,西螺,Xiluo,,,,,
土庫,土庫,Tuku,,,,,
北港,北港,Beigang,,,,,
古坑,古坑,Gukeng,,,,,
大埤,大埤,Dapi,,,,,
莿桐,莿桐,Citong,,,,,
林內,林內,Linnei,,,,,
二崙,二崙,Erlun,,,,,
崙背,崙背,Lunbei,,,,,
東勢,東勢,Dongshi,,,,,
褒忠,褒忠,Baozhong,,,,,
元長,元長,Yuanchang,,,,,
水林,水林,Shuilin,,,,,
朴子,朴子,Puzi,,,,,
大林,大林,Dalin,,,,,
民雄,民雄,Minxiong,,,,,
溪口,溪口,Xikou,,,,,
新港,新港,Xingang,,,,,
六腳,六腳,Liujiao,,,,,
義竹,義竹,Yizhu,,,,,
鹿草,鹿草,Lucao,,,,,
竹崎,竹崎,Zhuqi,,,,,
梅山,梅山,Meishan,,,,,
大埔,大埔,Dapu,,,,,
阿里山,阿里山,Alishan,,,,,
屏東,屏東,Pingtung,,,,,
潮州,潮州,Chaozhou,,,,,
長治,長治,Changzhi,,,,,
麟洛,麟洛,Linluo,,,,,
九如,九如,Jiuru,,,,,
里港,里港,Ligang,,,,,
鹽埔,鹽埔,Yanpu,,,,,
高樹,高樹,Gaoshu,,,,,
萬巒,萬巒,Wanluan,,,,,
內埔,內埔,Neipu,,,,,
新埤,新埤,Xinpi,,,,,
崁頂,崁頂,Kanding,,,,,
南州,南州,Nanzhou,,,,,
琉球,琉球,Liuqiu,,,,,
三地門,三地門,Sandimen,,,,,
霧臺,霧臺,Wutai,,,,,
瑪家,瑪家,Majia,,,,,
泰武,泰武,Taiwu,,,,,
來義,來義,Laiyi,,,,,
春日,春日,Chunri,,,,,
獅子,獅子,Shizi,,,,,
鹿野,鹿野,Luye,,,,,
池上,池上,Chishang,,,,,
延平,延平,Yanping,,,,,
光復,光復,Guangfu,,,,,
瑞穗,瑞穗,Ruisui,,,,,
富里,富里,Fuli,,,,,
馬公,馬公,Magong,,,,,
白沙,白沙,Baisha,,,,,
西嶼,西嶼,Xiyu,,,,,
望安,望安,Wang'an,,,,,
七美,七美,Qimei,,,,,
暖暖,暖暖,Nuannuan,,,,,
大安,大安,Da'an,,,,,
文山,文山,Wenshan,,,,,
鹽埕,鹽埕,Yancheng,,,,,
新興,新興,Xinxing,,,,,
前金,前金,Qianjin,,,,,
前鎮,前鎮,Qianzhen,,,,,
頭城,頭城,Toucheng,,,,,
南澳,南澳,Nan'ao,,,,,
竹北,竹北,Zhubei,,,,,
新豐,新豐,Xinfeng,,,,,
苑裡,苑裡,Yuanli,,,,,
通霄,通霄,Tongxiao,,,,,
竹南,竹南,Zhunan,,,,,
後龍,後龍,Houlong,,,,,
鹿港,鹿港,Lukang,,,,,
福興,福興,Fuxing,,,,,
臺西,臺西,Taixi,,,,,
四湖,四湖,Sihu,,,,,
口湖,口湖,Kouhu,,,,,
布袋,布袋,Budai,,,,,
東港,東港,Donggang,,,,,
枋寮,枋寮,Fangliao,,,,,
新園,新園,Xinyuan,,,,,
林邊,林邊,Linbian,,,,,
車城,車城,Checheng,,,,,
滿州,滿州,Manzhou,,,,,
枋山,枋山,Fangshan,,,,,
牡丹,牡丹,Mudan,,,,,
臺東,臺東,Taitung,,,,,
卑南,卑南,Beinan,,,,,
東河,東河,Donghe,,,,,
吉安,吉安,Ji'an,,,,,
壽豐,壽豐,Shoufeng,,,,,
秀林,秀林,Xiulin,,,,,
楠梓,楠梓,Nanzi,,,,,
鳳山,鳳山,Fengshan,,,,,
大寮,大寮,Daliao,,,,,
大樹,大樹,Dashu,,,,,
大社,大社,Dashe,,,,,
仁武,仁武,Renwu,,,,,
鳥松,鳥松,Niaosong,,,,,
岡山,岡山,Gangshan,,,,,
橋頭,橋頭,Qiaotou,,,,,
燕巢,燕巢,Yanchao,,,,,
田寮,田寮,Tianliao,,,,,
阿蓮,阿蓮,Alian,,,,,
路竹,路竹,Luzhu,,,,,
湖內,湖內,Hunei,,,,,
旗山,旗山,Qishan,,,,,
美濃,美濃,Meinong,,,,,
六龜,六龜,Liugui,,,,,
甲仙,甲仙,Jiaxian,,,,,
杉林,杉林,Shanlin,,,,,
內門,內門,Neimen,,,,,
茂林,茂林,Maolin,,,,,
桃源,桃源,Taoyuan,,,,,
那瑪夏,那瑪夏,Namaxia,,,,,
永和,永和,Yonghe,,,,,
新店,新店,Xindian,,,,,
土城,土城,Tucheng,,,,,
蘆洲,蘆洲,Luzhou,,,,,
五股,五股,Wugu,,,,,
坪林,坪林,Pinglin,,,,,
平溪,平溪,Pingxi,,,,,
烏來,烏來,Wulai,,,,,
豐原,豐原,Fengyuan,,,,,
東勢,東勢,Dongshi,,,,,
后里,后里,Houli,,,,,
神岡,神岡,Shengang,,,,,
新社,新社,Xinshe,,,,,
石岡,石岡,Shigang,,,,,
外埔,外埔,Waipu,,,,,
大肚,大肚,Dadu,,,,,
新營,新營,Xinying,,,,,
鹽水,鹽水,Yanshui,,,,,
白河,白河,Baihe,,,,,
後壁,後壁,Houbi,,,,,
麻豆,麻豆,Madou,,,,,
下營,下營,Xiaying,,,,,
六甲,六甲,Liujia,,,,,
官田,官田,Guantian,,,,,
大內,大內,Danei,,,,,
佳里,佳里,Jiali,,,,,
學甲,學甲,Xuejia,,,,,
西港,西港,Xigang,,,,,
新化,新化,Xinhua,,,,,
新市,新市,Xinshi,,,,,
安定,安定,Anding,,,,,
玉井,玉井,Yujing,,,,,
楠西,楠西,Nanxi,,,,,
南化,南化,Nanhua,,,,,
左鎮,左鎮,Zuozhen,,,,,
仁德,仁德,Rende,,,,,
歸仁,歸仁,Guiren,,,,,
關廟,關廟,Guanmiao,,,,,
龍崎,龍崎,Longqi,,,,,
永康,永康,Yongkang,,,,,
北,北,North,,,,,
林園,林園,Linyuan,,,,,
茄萣,茄萣,Qieding,,,,,
永安,永安,Yong'an,,,,,
彌陀,彌陀,Mituo,,,,,
梓官,梓官,Ziguan,,,,,
淡水,淡水,Tamsui,,,,,
瑞芳,瑞芳,Ruifang,,,,,
林口,林口,Linkou,,,,,
三芝,三芝,Sanzhi,,,,,
八里,八里,Bali,,,,,
大甲,大甲,Dajia,,,,,
北門,北門,Beimen,,,,,
安南,安南,Annan,,,,,
蘆竹,蘆竹,Luzhu,,,,,
龜山,龜山,Guishan,,,,,
復興,復興,Fuxing,,,,,
東,東,East,,,,,
西,西,West,,,,,
達仁,達仁,Daren,,,,,
大武,大武,Dawu,,,,,
關山,關山,Guanshan,,,,,
海端,海端,Haiduan,,,,,
香山,香山,Xiangshan,,,,,
礁溪,礁溪,Jiaoxi,,,,,
玉里,玉里,Yuli,,,,,
卓溪,卓溪,Zhuoxi,,,,,
頭份,頭份,Toufen,,,,,
清水,清水,Qingshui,,,,,
南,南,South,,,,,
安平,安平,Anping,,,,,
中西,中西,West Central,,,,,
大溪,大溪,Daxi,,,,,
八德,八德,Bade,,,,,
桃園,桃園,Taoyuan,,,,,
大園,大園,Dayuan,,,,,
楊梅,楊梅,Yangmei,,,,,
七堵,七堵,Qidu,,,,,
仁愛,仁愛,Ren'ai,,,,,
信義,信義,Xinyi,,,,,
中正,中正,Zhongzheng,,,,,
中山,中山,Zhongshan,,,,,
安樂,安樂,Anle,,,,,
三峽,三峽,Sanxia,,,,,
鶯歌,鶯歌,Yingge,,,,,
中和,中和,Zhonghe,,,,,
樹林,樹林,Shulin,,,,,
深坑,深坑,Shenkeng,,,,,
板橋,板橋,Banqiao,,,,,
石碇,石碇,Shiding,,,,,
新莊,新莊,Xinzhuang,,,,,
泰山,泰山,Taishan,,,,,
三重,三重,Sanchong,,,,,
雙溪,雙溪,Shuangxi,,,,,
貢寮,貢寮,Gongliao,,,,,
汐止,汐止,Xizhi,,,,,
萬里,萬里,Wanli,,,,,
金山,金山,Jinshan,,,,,
石門,石門,Shimen,,,,,
苓雅,苓雅,Lingya,,,,,
三民,三民,Sanmin,,,,,
新屋,新屋,Xinwu,,,,,
觀音,觀音,Guanyin,,,,,
北竿,北竿,Beigan,,,,,
東引,東引,Dongyin,,,,,
烈嶼,烈嶼,Lieyu,,,,,
旗津,旗津,Qijin,,,,,
長濱,長濱,Changbin,,,,,
豐濱,豐濱,Fengbin,,,,,
霧峰,霧峰,Wufeng,,,,,
大里,大里,Dali,,,,,
烏日,烏日,Wuri,,,,,
中,中,Central,,,,,
南屯,南屯,Nantun,,,,,
西屯,西屯,Xitun,,,,,
北屯,北屯,Beitun,,,,,
潭子,潭子,Tanzi,,,,,
萬華,萬華,Wanhua,,,,,
松山,松山,Songshan,,,,,
大同,大同,Datong,,,,,
士林,士林,Shilin,,,,,
北投,北投,Beitou,,,,,
花蓮,花蓮,Hualien,,,,,
新城,新城,Xincheng,,,,,
善化,善化,Shanhua,,,,,
山上,山上,Shanshang,,,,,
北斗,北斗,Beidou,,,,,
田尾,田尾,Tianwei,,,,,
金沙,金沙,Jinsha,,,,,
金湖,金湖,Jinhu,,,,,
柳營,柳營,Liuying,,,,,
東山,東山,Dongshan,,,,,
七股,七股,Qigu,,,,,
將軍,將軍,Jiangjun,,,,,
鼓山,鼓山,Gushan,,,,,
左營,左營,Zuoying,,,,,
中壢,中壢,Zhongli,,,,,
寶山,寶山,Baoshan,,,,,
恆春,恆春,Hengchun,,,,,
太平,太平,Taiping,,,,,
鳳林,鳳林,Fenglin,,,,,
萬榮,萬榮,Wanrong,,,,,
龍潭,龍潭,Longtan,,,,,
平鎮,平鎮,Pingzhen,,,,,
南港,南港,Nangang,,,,,
內湖,內湖,Neihu,,,,,
金寧,金寧,Jinning,,,,,
金城,金城,Jincheng,,,,,
尖石,尖石,Jianshi,,,,,
泰安,泰安,Tai'an,,,,,
和平,和平,Heping,,,,,
縣,縣,County,,,,,
鄉,鄉,Township,,,,,
鎮,鎮,Town,,,,,
市,市,City,,,,,
區,區,District,,,,,
